start; 
;Hunger Games: La ragazza di fuoco; 
;Iron Man 3; 
;Frozen - Il regno di ghiaccio; 
;Cattivissimo me 2; 
;L'uomo d'acciaio; 
;Gravity; 
;Monsters University; 
;Lo Hobbit - La desolazione di Smaug; 
;Fast & Furious 6; 
;Il grande e potente Oz; 
;Into Darkness - Star Trek; 
;Thor: The Dark World; 
;World War Z; 
;I Croods; 
;Corpi da reato; 
;Come ti spaccio la famiglia; 
;American Hustle - L'apparenza inganna; 
;Il grande Gatsby; 
;L'evocazione - The Conjuring; 
;Io sono tu; 
;Un weekend da bamboccioni 2; 
;Wolverine - L'immortale; 
;Anchorman 2 - Fotti la notizia; 
;Lone Survivor; 
;G.I. Joe - La vendetta; 
;Piovono polpette 2 - La rivincita degli avanzi; 
;Now You See Me - I maghi del crimine; 
;The Wolf of Wall Street; 
;The Butler - Un maggiordomo alla Casa Bianca; 
;Una notte da leoni 3; 
;Epic - Il mondo segreto; 
;Captain Phillips - Attacco in mare aperto; 
;Jackass - Nonno cattivo; 
;Pacific Rim; 
;Facciamola finita; 
;Attacco al potere - Olympus Has Fallen; 
;42 - La vera storia di una leggenda americana; 
;Elysium; 
;Planes; 
;The Lone Ranger; 
;Oblivion; 
;Oltre i confini del male - Insidious 2; 
;Saving Mr. Banks; 
;Turbo; 
;Cani sciolti; 
;Sotto assedio - White House Down; 
;La madre; 
;Vicino a te non ho paura; 
;I Puffi 2; 
;The Best Man Holiday
